	N2_mockRNAi_1	N2_mockRNAi_2	N2_rege1RNAi_1	N2_rege1RNAi_2	glp1_mockRNAi_1	glp1_mockRNAi_2	glp1_rege1RNAi_1	glp1_rege1RNAi_2
WBGene00019689	7.834283751	7.911034603	8.178313589	7.950606136	10.94421716	11.19924678	11.16897333	10.32281165
WBGene00006606	10.67381613	10.69010869	10.19251609	10.28115882	10.19560017	10.06726066	9.824188905	9.856612901
WBGene00010793	11.28713603	11.12567107	11.50725929	11.49359906	11.63419281	11.61230095	12.131237	12.02087423
WBGene00010794	11.28154912	11.55870202	11.32668005	11.76826519	11.17832456	11.36882763	11.33096016	11.35727178
WBGene00019692	10.65146541	10.7212508	10.55122361	10.61853713	10.66293338	10.56487607	10.26062384	10.74698203
WBGene00006594	10.05357251	10.06172517	10.00466274	9.868468084	10.55701986	10.48885774	9.728737695	10.39516218
WBGene00019693	10.69582586	11.22646066	11.11890603	11.29374297	11.20233163	11.20587397	11.27232568	10.92370654
WBGene00000630	5.482312491	5.461090436	5.143938561	4.715136667	5.608305212	5.504570205	5.534341162	5.33726943
WBGene00019695	4.771757581	5.564620517	5.101991309	4.547331346	5.49150651	5.535511467	5.399156615	4.597758249
WBGene00044616	4.771757581	4.323144747	3.591313418	4.057659929	4.701569846	4.841346622	4.557364873	4.180595991
WBGene00010795	5.049319244	5.049900379	5.923345185	6.058406957	5.579980007	5.595471662	6.235780703	6.125468313
WBGene00010796	9.479896264	9.48141732	9.329344831	9.496464993	9.602115134	9.550868736	9.514463281	9.360991451
WBGene00000205	9.721869989	9.454713295	9.555984966	9.481020941	9.571870149	9.516386253	9.760112499	9.387427503
WBGene00019697	11.35467388	10.91327456	11.27098172	11.15099916	11.04932391	11.0684984	10.98794381	11.08651475
WBGene00019698	11.75858978	11.61957297	11.63178985	11.67929362	11.44887384	11.52007196	11.21120682	11.27352716
WBGene00002211	6.760904819	6.559231771	6.540891791	6.702352764	7.450597453	7.216611641	6.775608682	7.08410425
WBGene00010803	6.221986053	6.732267491	6.302437559	6.252816381	6.500074604	6.548786467	6.38635587	6.226546481
WBGene00005758	3.164444999	3	3.325741999	3.310741453	3.871753528	3	3.175740279	3
WBGene00045337	3.312049054	3	3.325741999	3.163720912	3	3.167385061	3	3.172065523
WBGene00005106	3	3.34835794	3.325741999	3.566269616	3.161636323	3.317352977	3.175740279	3
WBGene00010797	3.312049054	3.184667984	3.464629901	3	3.161636323	3.317352977	3	3
WBGene00010798	3	3	3	3	3	3	3	3
WBGene00010799	6.930426295	6.343295601	7.083933148	7.023424557	7.599127284	7.657363373	7.541114725	7.780001002
WBGene00010800	3	3.184667984	3	3	3	3.167385061	3.332378776	3
WBGene00010801	3	3	3.172045082	3	3	3	3	3.172065523
WBGene00010802	3	3.184667984	3.172045082	3	3	3.317352977	3.332378776	3
WBGene00006195	3.681381128	4.671241775	4.180494385	4.486759395	4.204207141	3.691628499	3.720470448	4.180595991
WBGene00019705	7.181448383	8.168247994	7.217615874	7.666473531	7.534173898	7.705773844	7.475421609	7.126572464
WBGene00019699	5.978540981	5.864245092	9.526557024	9.715198517	5.716352155	6.088190517	9.267577747	9.463947782
WBGene00019700	7.752641192	8.112392533	7.812706086	7.560252086	7.856936067	7.87257554	7.671507819	7.436113507
WBGene00019702	3.164444999	3.750843922	3.591313418	3.566269616	3.439001031	3.317352977	3.473663856	3.591374561
WBGene00019703	7.631381718	8.580100115	7.984150598	8.284458948	8.252012365	8.326275462	8.021442221	7.81288144
WBGene00019704	6.145313124	6.624580145	5.94723319	6.037443695	6.500074604	5.838156308	5.657936713	5.970890726
WBGene00019706	3.681381128	3.750843922	3.815515264	3.444155505	4.127997033	3.988534886	3.93115879	3.707835725
WBGene00004743	8.547157013	9.041413973	9.001665084	9.301437264	8.773612915	8.718878621	9.089661581	8.803440998
WBGene00006461	7.659222738	8.200751891	7.67643443	7.645845705	8.034425552	8.011109359	8.061169731	7.81288144
WBGene00003750	6.203196442	6.575848455	6.509146473	6.407869334	6.917246199	6.885414812	7.52496975	6.948640586
WBGene00001309	10.66697579	11.3589731	11.21304638	11.52453056	11.61207004	11.48533165	11.616957	10.84084121
WBGene00001196	10.69666572	10.84551121	10.60101312	10.86674487	10.59467073	10.68531063	10.71748729	10.64293635
WBGene00044897	4.551765837	3.967823512	4.258940229	4.288104535	3.871753528	3.691628499	4.353055734	4.259046081
WBGene00001063	3.568459649	4.323144747	4.097536574	4.423532435	3.439001031	4.308158984	3.720470448	3.707835725
WBGene00019709	3.164444999	3	3	3	3	3	3	3.172065523
WBGene00019710	9.918987738	9.823348423	9.755194667	9.713547498	9.963144887	9.825802215	10.01400274	9.708965014
WBGene00019711	12.07961009	12.08296207	11.98975683	11.89894529	12.16246271	12.10211003	11.59053521	12.13967903
WBGene00019712	11.03424589	10.77889956	10.96433687	10.93138145	10.97377408	10.96291141	10.00384512	10.81834752
WBGene00019713	13.02560759	13.00048742	12.86933128	12.76242399	13.21931747	13.21510328	13.10911829	13.08791188
WBGene00000474	14.8756207	14.62767313	14.54209619	14.42890242	14.50279437	14.4637582	14.84728422	14.6253769
WBGene00002225	12.14475792	11.47258792	11.94448517	11.55435168	11.62642345	11.62494386	11.84459522	11.63335249
WBGene00006508	10.70753962	10.80026895	10.47418933	10.51618328	11.12356869	10.99735281	10.80449462	11.00135668
WBGene00010804	3.883733382	3.495353523	3	3.444155505	3.306974015	3.577329224	3.602338481	4.009607435
WBGene00010805	9.416057077	9.161870189	9.082082745	9.20132389	9.359164235	9.312655645	9.504205451	9.331794944
WBGene00010806	11.71614591	11.70749764	11.73702945	11.79075338	11.38584296	11.39014499	11.40945991	11.44010866
WBGene00010807	10.85701703	10.62772577	10.50267998	10.57464802	10.56155397	10.68272148	10.76723372	10.54847889
WBGene00006595	14.22504067	14.15090726	13.96165768	13.95670385	14.10434959	13.99371038	13.15393427	13.92884704
WBGene00010808	12.04243427	12.2394511	11.88890854	11.81866747	11.85895487	11.86424755	11.55668852	11.54020917
WBGene00001639	6.085010008	6.323752689	6.226384083	6.502691455	6.859500618	7.086847077	6.489795202	6.587403947
WBGene00004428	14.63210125	14.50030909	14.50498085	14.43536493	14.26406635	14.37312301	14.61290298	14.26929385
WBGene00010809	11.44291018	11.32435875	11.28510919	11.13997832	11.54129675	11.59588126	11.65732499	11.3589426
WBGene00010810	11.33485031	11.16806906	11.05918762	11.0956672	11.3812336	11.36775345	11.38395151	11.25090921
WBGene00010811	10.28561999	10.4996864	10.08626334	10.09206368	10.24492063	10.19751187	10.23231596	10.25264457
WBGene00010812	8.78369796	8.694841245	8.662448724	8.328270435	8.696554118	8.787962988	9.047899469	8.510581576
WBGene00010813	9.846674264	9.753856717	10.40039942	10.35714646	9.846117232	9.913805298	10.20217288	10.26100878
WBGene00010814	9.416057077	9.364344925	9.378489561	9.397110545	9.282137737	9.399313302	9.580395078	9.223464472
WBGene00010815	10.38275099	10.1572912	10.33626395	10.37082817	10.37837604	10.20715294	10.4153399	10.61337747
WBGene00005526	3	3	3	3	3	3	3	3
WBGene00010823	3	3	3	3	3	3	3	3
WBGene00004509	8.347728229	8.357929397	8.018380453	8.448281084	8.572651837	8.326275462	8.105272153	8.331555579
WBGene00005525	3	3	3	3	3	3	3	3
WBGene00010825	5.450799384	5.530929291	5.101991309	5.413109285	5.742145238	5.303539922	5.597462085	5.224485342
WBGene00010817	3	3	3	3	3	3	3	3
WBGene00005858	3	3	3	3	3	3	3	3
WBGene00010819	3	3	3	3	3	3	3	3
WBGene00010820	3	3.184667984	3	3	3	3	3	3
WBGene00010821	3.975174388	3.34835794	3.172045082	3.566269616	3.439001031	3.988534886	3.93115879	4.536080739
WBGene00010822	8.14113429	8.377017802	8.907394639	9.091201065	8.902153886	8.91986973	8.679846396	9.196307964
WBGene00019714	3	3	3	3	3	3	3	3
