	N2_mockRNAi_1	N2_mockRNAi_2	N2_rege1RNAi_1	N2_rege1RNAi_2	glp1_mockRNAi_1	glp1_mockRNAi_2	glp1_rege1RNAi_1	glp1_rege1RNAi_2
WBGene00004960	3.675514316	3.15874315	3	3.177560818	3.618902645	3	3.671377669	3.961277016
WBGene00013446	4.627644746	4.113128386	3.65346132	3.478102426	4.258722274	3.313654502	4.276331885	4.178051751
WBGene00006573	4.627644746	3.15874315	3.849689043	4.034047332	4.258722274	3.684486619	3.559809383	4.533097392
WBGene00013447	4.627644746	3.763738925	4.022394409	3.938692934	3.618902645	4.366553285	4.411025135	4.452187592
WBGene00013448	5.330808161	3.551153539	4.176617942	4.567814026	5.075272412	4.777585913	5.224681477	5.055464737
WBGene00013429	3.200744779	3	3	3	3	3.16533442	3.559809383	3.21143436
WBGene00013431	4.695714468	3.661358331	3.849689043	3.478102426	3.514566991	3.789567328	3.774933909	3.961277016
WBGene00013432	3	3	3	3	3	3	3	3.21143436
WBGene00013433	3.804431592	3.301737941	3.54433698	3.177560818	3.146839394	3.313654502	3.161589261	3
WBGene00013434	3.804431592	3.763738925	3.849689043	3.726700989	4.123371269	4.366553285	3.871552142	4.073732044
WBGene00013435	6.055765569	5.274520699	5.112045293	4.907033927	5.487248897	5.392292662	5.579610198	5.705835647
WBGene00022044	5.372997324	4.629312613	5.112045293	4.689966488	4.258722274	4.432940149	4.592070135	4.533097392
WBGene00022045	3.200744779	3	3.54433698	3	3	3.448137644	3	3.395805922
WBGene00022046	3	3	3	3	3	3	3	3
WBGene00022047	3	3	3	3	3	3.16533442	3	3
WBGene00002041	6.910099646	6.174035617	6.716582095	6.762681734	6.712262298	6.576321348	6.587632713	7.282968676
WBGene00022048	4.939805331	4.260489666	3.65346132	4.123488153	4.496412524	4.432940149	4.473931904	4.366469162
WBGene00022049	6.081437751	5.37498694	5.845535148	5.547423804	5.692473547	5.771557684	5.887526238	5.870571949
WBGene00004981	4.822915998	3.859333042	4.559730357	3.726700989	4.123371269	4.366553285	4.592070135	5.16106624
WBGene00022050	4.228740898	3.431828966	3.754908845	3.836587268	3.973994676	3.571146702	4.047306292	4.178051751
WBGene00013450	3	3	3	3	3	3	3	3
WBGene00013459	3	3	3	3	3	3.16533442	3	3
WBGene00044906	3	3	3	3	3	3	3	3
WBGene00045310	3	3	3	3	3	3.16533442	3	3
WBGene00013451	3	3.15874315	3.156509871	3	3	3	3.161589261	3
WBGene00013452	3.533936598	3	3	3	3.893075286	3.448137644	3.161589261	3.395805922
WBGene00013453	4.032129483	3.763738925	3.54433698	3.478102426	3.893075286	3.789567328	3.962103937	3.706070801
WBGene00013454	3	3	3.297690316	3	3	3	3	3
WBGene00013455	4.401743307	3.859333042	4.442976613	3.836587268	4.550183513	4.296963599	4.701262307	4.682457633
WBGene00013456	3.804431592	3.431828966	3.65346132	3.478102426	4.258722274	3.979226368	3.871552142	4.682457633
WBGene00013457	3	3	3	3	3.146839394	3.16533442	3	3.21143436
WBGene00013458	3.376938259	3	3.297690316	3	4.123371269	3.789567328	3	3.559263004
WBGene00013449	3	3	3	3	3	3	3	3
WBGene00003652	4.695714468	3.859333042	4.247957842	3.726700989	3.973994676	4.557197317	3.559809383	4.609709533
WBGene00022051	4.627644746	4.456655316	4.101565999	4.207706244	4.382456935	4.49640608	4.592070135	4.452187592
WBGene00022052	5.330808161	4.629312613	5.112045293	5.139215116	5.214996724	5.550171718	5.428996868	5.559002657
WBGene00022053	5.372997324	3.763738925	4.815954442	4.287278042	4.258722274	4.296963599	4.647699018	5.559002657
WBGene00022054	4.88254416	4.574024673	4.442976613	4.434354191	4.321915732	3.887511217	4.047306292	4.275334211
WBGene00022055	3.376938259	3.551153539	3.54433698	3.177560818	3	3.571146702	4.047306292	3.395805922
WBGene00022056	4.627644746	3.661358331	3.849689043	4.207706244	4.258722274	3.887511217	4.047306292	4.073732044
WBGene00022057	4.994880279	4.260489666	4.768221331	4.630182696	4.652062648	4.968726293	4.897599811	4.999616359
WBGene00022058	8.185156469	7.455265158	7.749361222	7.744221074	7.751045951	7.89617308	7.765142879	7.88600456
WBGene00022059	4.994880279	4.574024673	4.442976613	4.567814026	4.879130601	4.777585913	4.345249847	5.109231492
WBGene00022060	3	3	3	3	3	3	3.30688891	3
WBGene00022061	3	3	3	3	3.146839394	3	3	3
WBGene00022062	3.376938259	3	3.426278156	3.177560818	3.514566991	3	3.559809383	3
WBGene00022063	3	3	3	3.177560818	3	3	3.438884535	3
WBGene00022064	3.376938259	3	3	3	3.146839394	3	3	3
WBGene00022065	3	3	3	3	3.146839394	3	3	3
WBGene00003153	9.87587073	9.782706316	9.738284926	9.967626024	9.710294058	9.646811257	9.309991066	9.740250413
WBGene00022066	3	3	3	3	3	3	3	3
WBGene00022067	4.994880279	3.859333042	4.768221331	4.123488153	4.550183513	4.615530216	4.534209933	4.817795216
WBGene00022068	3.376938259	3.431828966	3.754908845	4.207706244	3.514566991	3.887511217	3.671377669	3.395805922
WBGene00022069	6.179788376	4.922784263	5.186567846	5.004434092	5.280091556	5.425280942	5.521237827	5.870571949
WBGene00022070	3	3	3	3	3	3	3	3
WBGene00022071	3	3	3	3	3	3	3	3
WBGene00022072	3	3.15874315	3.156509871	3	3	3.16533442	3	3.21143436
WBGene00022073	4.760716689	4.394184202	4.442976613	4.287278042	4.382456935	4.671595897	4.897599811	4.817795216
WBGene00013460	6.67739882	5.996181205	6.296198512	5.641269697	6.440553884	5.940811324	5.579610198	6.344068347
WBGene00013465	6.003008694	5.528291822	5.539202184	5.61066104	5.45941476	5.012801033	5.579610198	5.597135522
WBGene00013461	7.195175567	6.723885198	6.89385598	7.403908401	7.066069816	7.208309953	6.928108127	7.198672023
WBGene00013462	6.029628271	4.922784263	5.389494477	5.757596242	5.541356167	5.097105738	5.491141398	5.774003531
WBGene00013463	3	3	3	3	3	3	3	3
WBGene00000818	4.401743307	4.1886897	3.849689043	4.689966488	4.258722274	3.789567328	4.276331885	4.751712826
WBGene00013464	5.530402515	4.877833219	4.950351706	4.123488153	5.075272412	5.097105738	4.897599811	5.055464737
WBGene00001393	5.287347985	4.877833219	4.614745124	4.034047332	5.402081737	5.60878367	5.187627876	6.27517573
WBGene00013469	3	3	3	3	3	3	3	3
WBGene00044212	3	3	3	3.177560818	3	3.16533442	3.774933909	3.395805922
WBGene00013466	3	3	3	3	3.146839394	3	3	3
WBGene00006235	3	3	3	3	3	3	3	3
WBGene00013468	3	3	3	3	3	3	3	3
WBGene00005332	3	3	3	3	3	3	3	3
WBGene00005443	3	3	3	3	3	3	3	3
WBGene00013470	3	3	3	3	3	3	3.161589261	3
WBGene00013471	3.376938259	3	3	3	3	3.313654502	3	3
WBGene00013472	3	3	3	3	3	3	3	3
WBGene00001705	3	3.15874315	3.156509871	3	3.146839394	3.16533442	3	3
WBGene00044468	4.228740898	3.431828966	5.42070465	4.034047332	3.807346091	4.065457866	4.411025135	4.366469162
WBGene00022083	3.675514316	4.394184202	3.849689043	4.434354191	4.050615415	3.684486619	4.203955806	5.306253206
WBGene00022084	3	3	3	3	3	3	3	3
WBGene00022085	3.533936598	3	3.297690316	3.177560818	4.123371269	3.789567328	3.671377669	3.961277016
WBGene00022086	3.376938259	3	3.156509871	3	3	3	3	3.21143436
WBGene00022087	7.619885958	7.187015634	7.247185972	7.311771757	7.231544559	7.22714	7.221820868	7.916484805
WBGene00022088	4.627644746	4.260489666	4.667738829	4.630182696	3.893075286	4.065457866	4.047306292	4.073732044
WBGene00022089	4.88254416	4.394184202	4.247957842	4.567814026	4.192633488	4.366553285	4.850963174	5.109231492
WBGene00022090	4.822915998	4.113128386	4.718854719	4.362689523	5.111492478	5.097105738	4.701262307	5.931537073
WBGene00022074	5.287347985	4.629312613	5.291596131	5.22254599	4.258722274	5.097105738	4.752907925	4.817795216
WBGene00022092	3	3.15874315	3.156509871	3.177560818	3.280104283	3.16533442	3	3.21143436
WBGene00022093	3.376938259	3	3.156509871	3.607749765	3.402093432	3.571146702	3.438884535	3.395805922
WBGene00022094	3	3	3	3	3	3	3	3.21143436
WBGene00022095	3	3	3	3	3	3	3	3
WBGene00022096	3	3	3.297690316	3	3	3	3	3
WBGene00022097	3.200744779	3	3.156509871	3	3	3.313654502	3	3
WBGene00022098	3	3	3	3	3	3	3	3.21143436
WBGene00022099	3	3	3	3	3	3	3.161589261	3
WBGene00003595	3.675514316	3.661358331	3.938624509	3.335643599	3.402093432	3.571146702	4.276331885	3.559263004
